locator	band	domain	subdomain	task_L3	current_disposition	recommendation	merged_with	roadmap_wave	knowledge_pack	rationale	class	coverage_via	box_trigger	box_input	box_output	box_refuses	four_box_status
A/1/1.4/Immunogenicity assays	A	Scientific foundations	Measurement science	Immunogenicity assays	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/immunogenicity-ada.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/immunogenicity-ada.md	skill	self	Please review the materials for Immunogenicity assays and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Immunogenicity assays	Source-linked finding register with denominators	Decide the outcome of Immunogenicity assays; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/1/1.4/Biomarker fit-for-purpose	A	Scientific foundations	Measurement science	Biomarker fit-for-purpose	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Biomarker fit-for-purpose and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Biomarker fit-for-purpose	Source-linked finding register with denominators	Decide the outcome of Biomarker fit-for-purpose; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/1/1.4/Multi-analyte strategies for ADCs	A	Scientific foundations	Measurement science	Multi-analyte strategies for ADCs	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-adc-analyte-strategy. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
A/1/1.5/Small molecule	A	Scientific foundations	Modality-specific pharmacology	Small molecule	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/ (15 modules, no modality restriction)	Own skill for this L3; keep module/tool as knowledge: shared/modules/ (15 modules, no modality restriction)	context	shared/contexts/modality/small-molecule.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/1/1.5/Therapeutic protein and monoclonal antibody	A	Scientific foundations	Modality-specific pharmacology	Therapeutic protein and monoclonal antibody	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/biologics-mab-pk.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/biologics-mab-pk.md	context	shared/contexts/modality/mab.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/1/1.5/Antibody-drug conjugate	A	Scientific foundations	Modality-specific pharmacology	Antibody-drug conjugate	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-adc-analyte-strategy. Keep; narrow/split if fat.	context	shared/contexts/modality/adc.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/1/1.5/Oligonucleotide	A	Scientific foundations	Modality-specific pharmacology	Oligonucleotide	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	context	shared/contexts/modality/oligonucleotide.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/1/1.5/Cell, gene and regenerative	A	Scientific foundations	Modality-specific pharmacology	Cell, gene and regenerative	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	context	shared/contexts/modality/cell-gene.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/1/1.5/Vaccine and radioligand	A	Scientific foundations	Modality-specific pharmacology	Vaccine and radioligand	gap	OWN-SKILL (new; was oos)	NONE	Next		In product; build Next/Later	context	shared/contexts/modality/vaccine-radioligand.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/1/1.6/Oncology	A	Scientific foundations	Therapeutic-area pharmacology	Oncology	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/oncology-dose-optimization.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/oncology-dose-optimization.md	context	shared/contexts/therapeutic-area/oncology.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/1/1.6/Infectious disease - PTA and MIC target attainment	A	Scientific foundations	Therapeutic-area pharmacology	Infectious disease - PTA and MIC target attainment	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Infectious disease - PTA and MIC target attainment and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Infectious disease - PTA and MIC target attainment	Source-linked finding register with denominators	Decide the outcome of Infectious disease - PTA and MIC target attainment; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/1/1.6/Rare disease and small-n	A	Scientific foundations	Therapeutic-area pharmacology	Rare disease and small-n	gap	OWN-SKILL (new; was oos)	NONE	Next		In product; build Next/Later	context	shared/contexts/therapeutic-area/rare-disease.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/1/1.6/Neuroscience and CNS penetration	A	Scientific foundations	Therapeutic-area pharmacology	Neuroscience and CNS penetration	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	context	shared/contexts/therapeutic-area/cns.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/1/1.6/Cardiometabolic and immunology	A	Scientific foundations	Therapeutic-area pharmacology	Cardiometabolic and immunology	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	context	shared/contexts/therapeutic-area/cardiometabolic-immunology.md (composed by all skills)	no utterance names it alone	any / all	none of its own	n/a - not a workflow	RECORDED
A/2/2.1/Population PK and covariate modelling	A	Quantitative pharmacology	Pharmacometrics	Population PK and covariate modelling	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-model-analysis-deliverable. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
A/2/2.1/Exposure-response modelling	A	Quantitative pharmacology	Pharmacometrics	Exposure-response modelling	gap	OWN-SKILL (new; was asset-only)	NONE	Next	shared/assets/review-rubric-library.md	Promote from shared asset to skill: shared/assets/review-rubric-library.md	skill	self	Please review the materials for Exposure-response modelling and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Exposure-response modelling	Source-linked finding register with denominators	Decide the outcome of Exposure-response modelling; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.1/Model-based meta-analysis	A	Quantitative pharmacology	Pharmacometrics	Model-based meta-analysis	gap	OWN-SKILL (new; was oos)	NONE	Later		In product; build Next/Later	skill	self	Please review the materials for Model-based meta-analysis and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Model-based meta-analysis	Source-linked finding register with denominators	Decide the outcome of Model-based meta-analysis; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.1/Disease-progression modelling	A	Quantitative pharmacology	Pharmacometrics	Disease-progression modelling	gap	OWN-SKILL (new; was oos)	NONE	Later		In product; build Next/Later	skill	self	Please review the materials for Disease-progression modelling and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Disease-progression modelling	Source-linked finding register with denominators	Decide the outcome of Disease-progression modelling; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.1/Model evaluation and diagnostics	A	Quantitative pharmacology	Pharmacometrics	Model evaluation and diagnostics	gap	OWN-SKILL (refuse-boundary)	NONE	Next		Own skill; prepare only — refuse decide/sign/negotiate	skill	self	Please assess the materials for Model evaluation and diagnostics and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Model evaluation and diagnostics	Source-linked finding register with denominators	Decide the outcome of Model evaluation and diagnostics; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.1/Model analysis plan and report (MAP/MAR)	A	Quantitative pharmacology	Pharmacometrics	Model analysis plan and report (MAP/MAR)	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-model-analysis-deliverable. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
A/2/2.2/PBPK and biopharmaceutics modelling	A	Quantitative pharmacology	Mechanistic and systems modelling	PBPK and biopharmaceutics modelling	gap	OWN-SKILL (new; was asset-only)	NONE	Next	shared/assets/review-rubric-library.md	Promote from shared asset to skill: shared/assets/review-rubric-library.md	skill	self	Please review the materials for PBPK and biopharmaceutics modelling and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for PBPK and biopharmaceutics modelling	Source-linked finding register with denominators	Decide the outcome of PBPK and biopharmaceutics modelling; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.2/Quantitative systems pharmacology	A	Quantitative pharmacology	Mechanistic and systems modelling	Quantitative systems pharmacology	gap	OWN-SKILL (new; was oos)	NONE	Later		In product; build Next/Later	skill	self	Please review the materials for Quantitative systems pharmacology and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Quantitative systems pharmacology	Source-linked finding register with denominators	Decide the outcome of Quantitative systems pharmacology; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.2/Agent-based models	A	Quantitative pharmacology	Mechanistic and systems modelling	Agent-based models	gap	OWN-SKILL (new; was oos)	NONE	Later		In product; build Next/Later	skill	self	Please review the materials for Agent-based models and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Agent-based models	Source-linked finding register with denominators	Decide the outcome of Agent-based models; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.3/Bioequivalence statistics - TOST and confidence intervals	A	Quantitative pharmacology	Statistics for clinical pharmacology	Bioequivalence statistics - TOST and confidence intervals	gap	OWN-SKILL (new; wraps tool)	NONE	Next	shared/tools/pk_plausibility.py; shared/modules/ba-be-formulation-bridging.md	Own skill journey wrapping tool: shared/tools/pk_plausibility.py; shared/modules/ba-be-formulation-bridging.md	skill	self	Please review the materials for Bioequivalence statistics - TOST and confidence intervals and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Bioequivalence statistics - TOST and confidence intervals	Source-linked finding register with denominators	Decide the outcome of Bioequivalence statistics - TOST and confidence intervals; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.3/Sample size and power	A	Quantitative pharmacology	Statistics for clinical pharmacology	Sample size and power	gap	OWN-SKILL (refuse-boundary)	NONE	Next		Own skill; prepare only — refuse decide/sign/negotiate	skill	self	Please review the materials for Sample size and power and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Sample size and power	Source-linked finding register with denominators	Decide the outcome of Sample size and power; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.3/Multiplicity and inference in exposure-response	A	Quantitative pharmacology	Statistics for clinical pharmacology	Multiplicity and inference in exposure-response	gap	OWN-SKILL (refuse-boundary)	NONE	Next		Own skill; prepare only — refuse decide/sign/negotiate	skill	self	Please review the materials for Multiplicity and inference in exposure-response and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Multiplicity and inference in exposure-response	Source-linked finding register with denominators	Decide the outcome of Multiplicity and inference in exposure-response; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.4/AI/ML methods in drug development	A	Quantitative pharmacology	AI, machine learning and informatics	AI/ML methods in drug development	gap	OWN-SKILL (new; was oos)	NONE	Later		In product; build Next/Later	shared-reference	carried by L3: AI/ML workflow automation	no distinct invocation	no distinct input class	no independent artifact	n/a - knowledge, not a decision	RECORDED
A/2/2.4/Analysis dataset standards and provenance	A	Quantitative pharmacology	AI, machine learning and informatics	Analysis dataset standards and provenance	gap	OWN-SKILL (new; was asset-only)	NONE	Next	shared/assets/review-rubric-library.md	Promote from shared asset to skill: shared/assets/review-rubric-library.md	skill	self	Please review the materials for Analysis dataset standards and provenance and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Analysis dataset standards and provenance	Source-linked finding register with denominators	Decide the outcome of Analysis dataset standards and provenance; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.4/CDISC PK domains (PC, PP) and define.xml	A	Quantitative pharmacology	AI, machine learning and informatics	CDISC PK domains (PC, PP) and define.xml	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for CDISC PK domains (PC, PP) and define.xml and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for CDISC PK domains (PC, PP) and define.xml	Source-linked finding register with denominators	Decide the outcome of CDISC PK domains (PC, PP) and define.xml; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
A/2/2.4/Computational environment and reproducibility	A	Quantitative pharmacology	AI, machine learning and informatics	Computational environment and reproducibility	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Computational environment and reproducibility and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Computational environment and reproducibility	Source-linked finding register with denominators	Decide the outcome of Computational environment and reproducibility; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/3/3.1/Clinical pharmacology development plan	B	Evidence strategy	Programme planning	Clinical pharmacology development plan	skill	OWN-SKILL (exists)	NONE	Now		Package present: assess-development-plan-gaps. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/3/3.1/MIDD plan and model inventory	B	Evidence strategy	Programme planning	MIDD plan and model inventory	gap	OWN-SKILL (new; was asset-only)	NONE	Next	shared/assets/review-rubric-library.md	Promote from shared asset to skill: shared/assets/review-rubric-library.md	skill	self	Please review the materials for MIDD plan and model inventory and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for MIDD plan and model inventory	Source-linked finding register with denominators	Decide the outcome of MIDD plan and model inventory; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/3/3.1/Target product profile inputs	B	Evidence strategy	Programme planning	Target product profile inputs	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Target product profile inputs and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Target product profile inputs	Source-linked finding register with denominators	Decide the outcome of Target product profile inputs; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/3/3.2/Study versus model versus waiver decisions	B	Evidence strategy	Evidence routing	Study versus model versus waiver decisions	gap	OWN-SKILL (new; was oos)	NONE	Next	skills/assess-development-plan-gaps	In product; build Next/Later	skill	self	Please review the materials for Study versus model versus waiver decisions and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Study versus model versus waiver decisions	Source-linked finding register with denominators	Decide the outcome of Study versus model versus waiver decisions; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/3/3.2/Special-population strategy	B	Evidence strategy	Evidence routing	Special-population strategy	skill	OWN-SKILL (exists)	NONE	Now		Package present: assess-development-plan-gaps. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/3/3.2/Modality applicability	B	Evidence strategy	Evidence routing	Modality applicability	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Modality applicability and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Modality applicability	Source-linked finding register with denominators	Decide the outcome of Modality applicability; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/3/3.3/Guidance surveillance and impact assessment	B	Evidence strategy	External intelligence	Guidance surveillance and impact assessment	gap	OWN-SKILL (new; was asset-only)	NONE	Next	shared/assets/guidance-index.md	Promote from shared asset to skill: shared/assets/guidance-index.md	skill	self	Please review the materials for Guidance surveillance and impact assessment and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Guidance surveillance and impact assessment	Source-linked finding register with denominators	Decide the outcome of Guidance surveillance and impact assessment; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/3/3.3/Regulatory precedent analysis	B	Evidence strategy	External intelligence	Regulatory precedent analysis	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Regulatory precedent analysis and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Regulatory precedent analysis	Source-linked finding register with denominators	Decide the outcome of Regulatory precedent analysis; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/3/3.3/Competitive landscape	B	Evidence strategy	External intelligence	Competitive landscape	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Competitive landscape and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Competitive landscape	Source-linked finding register with denominators	Decide the outcome of Competitive landscape; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/3/3.4/Due diligence and in-licensing	B	Evidence strategy	Asset evaluation	Due diligence and in-licensing	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Due diligence and in-licensing and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Due diligence and in-licensing	Source-linked finding register with denominators	Decide the outcome of Due diligence and in-licensing; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/4/4.1/Nonclinical synthesis for human readiness	B	Translation and first-in-human	Human dose prediction	Nonclinical synthesis for human readiness	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/first-in-human.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/first-in-human.md	skill	self	Please review the materials for Nonclinical synthesis for human readiness and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Nonclinical synthesis for human readiness	Source-linked finding register with denominators	Decide the outcome of Nonclinical synthesis for human readiness; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/4/4.1/Human PK prediction - allometry, IVIVE, PBPK	B	Translation and first-in-human	Human dose prediction	Human PK prediction - allometry, IVIVE, PBPK	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-human-pk-prediction. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/4/4.2/NOAEL to HED to MRSD	B	Translation and first-in-human	Starting dose	NOAEL to HED to MRSD	gap	OWN-SKILL (new; wraps tool)	NONE	Next	shared/tools/mrsd_calculator.py; skills/review-fih-dose-rationale	Own skill journey wrapping tool: shared/tools/mrsd_calculator.py; skills/review-fih-dose-rationale	skill	self	Please review the materials for NOAEL to HED to MRSD and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for NOAEL to HED to MRSD	Source-linked finding register with denominators	Decide the outcome of NOAEL to HED to MRSD; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/4/4.2/MABEL and pharmacologically active dose	B	Translation and first-in-human	Starting dose	MABEL and pharmacologically active dose	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-fih-dose-rationale. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/4/4.2/Safety margins against toxicology exposures	B	Translation and first-in-human	Starting dose	Safety margins against toxicology exposures	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/first-in-human.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/first-in-human.md	skill	self	Please review the materials for Safety margins against toxicology exposures and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Safety margins against toxicology exposures	Source-linked finding register with denominators	Decide the outcome of Safety margins against toxicology exposures; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/4/4.3/Escalation schema, sentinel and staggered dosing	B	Translation and first-in-human	Escalation design	Escalation schema, sentinel and staggered dosing	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-fih-dose-rationale. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/4/4.3/Exposure cap and stopping rules	B	Translation and first-in-human	Escalation design	Exposure cap and stopping rules	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/first-in-human.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/first-in-human.md	skill	self	Please review the materials for Exposure cap and stopping rules and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Exposure cap and stopping rules	Source-linked finding register with denominators	Decide the outcome of Exposure cap and stopping rules; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/4/4.4/Biomarker and target-engagement strategy	B	Translation and first-in-human	Translational measurement	Biomarker and target-engagement strategy	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Biomarker and target-engagement strategy and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Biomarker and target-engagement strategy	Source-linked finding register with denominators	Decide the outcome of Biomarker and target-engagement strategy; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
B/5/5.1/Study concept and objectives	B	Study delivery	Design	Study concept and objectives	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-protocol-pk-sections. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.1/Protocol clinical pharmacology sections	B	Study delivery	Design	Protocol clinical pharmacology sections	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-protocol-pk-sections. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.1/PK/PD sampling schedule	B	Study delivery	Design	PK/PD sampling schedule	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-protocol-pk-sections. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.1/Bioanalytical plan	B	Study delivery	Design	Bioanalytical plan	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-protocol-pk-sections. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.2/PK analysis plan and SAP contribution	B	Study delivery	Analysis specification	PK analysis plan and SAP contribution	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-protocol-pk-sections. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.2/BLQ, actual-versus-nominal times, exclusion rules	B	Study delivery	Analysis specification	BLQ, actual-versus-nominal times, exclusion rules	skill	OWN-SKILL (exists)	NONE	Now		Package present: verify-nca-outputs. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.3/Escalation and safety-committee data packages	B	Study delivery	Conduct oversight	Escalation and safety-committee data packages	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-study-conduct-pk. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.3/Interim and blinded PK review	B	Study delivery	Conduct oversight	Interim and blinded PK review	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-study-conduct-pk. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.3/Deviation and sampling-compliance impact	B	Study delivery	Conduct oversight	Deviation and sampling-compliance impact	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-study-conduct-pk. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
B/5/5.3/Protocol amendment impact	B	Study delivery	Conduct oversight	Protocol amendment impact	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-protocol-pk-sections. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
